chapter	edited	apparatus_entries	file
SS.6.31	no	42	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.32	no	32	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.33	no	42	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.34	no	38	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.35	no	38	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.36	no	35	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.37	no	113	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.38	no	123	06-su.ut-58-38-66-dasaka/provisional-edition_uttaratantra-58-38-66.xml
SS.6.39	no	1132	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.40	no	701	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.41	no	283	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.42	no	483	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.43	no	93	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.44	no	235	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.45	no	228	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.46	no	102	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.47	no	397	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.48	no	144	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.49	no	132	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.50	no	144	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.51	no	195	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
